Title,Name,Desc,Attribute 
lone traveler,LoneTraveler95,"After escaping [PAWN_possessive] homeworld on a jury-rigged ship, [PAWN_nameDef] traveled to new worlds to experience their beauty.

[PAWN_pronoun] joined resistance groups and applied the skills [PAWN_pronoun] cultivated on [PAWN_possessive] homeworld. [PAWN_pronoun] often warned of the nuclear horror [PAWN_pronoun] saw as a child.",Plants+3	Shooting+4	Medicine+3	Artistic-2	
undertaker,Undertaker93,"[PAWN_nameDef] roamed, offering grief assistance to those who've had a recent loss. While [PAWN_pronoun] never shied away from physical confrontation, [PAWN_pronoun] prefers to confront tough situations with a calm word.",Intellectual+3	Social+6	Medicine+2	
mercenary,Mercenary4,"After escaping a crew of rimworld slavers, [PAWN_nameDef] developed a lack of respect for life. [PAWN_pronoun] proceeded to sign on to a mercenary group where [PAWN_pronoun] developed skills using guns and survival techniques. [PAWN_nameDef] did dirty work where [PAWN_pronoun] found it, and traveled to many worlds.",Construction+3	Mining+2	Shooting+5	Artistic-2	
hired assassin,HiredAssassin37,"[PAWN_nameDef] was a master thief, working mostly for organized crime. Over time, [PAWN_pronoun] made a name for [PAWN_objective]self and shifted [PAWN_possessive] business into the paid ""removal"" of human threats.",Shooting+4	Melee+5	Social+3	
spaceship chef,SpaceshipChef41,"[PAWN_nameDef] got a spot on a ship by becoming the ship's cook. [PAWN_pronoun] enjoyed cooking and helping the doctor clean wounds, but [PAWN_pronoun] never got used to cleaning the dishes.",Cooking+7	Medicine+5	
dreaded dude,DreadedDude58,"Some followers say that [PAWN_nameDef] and [PAWN_possessive] crew of misfits found the fountain of youth, many, many centuries ago, and that they caused the extinction of the dinosaurs on many planets.

There's even a religion about them, somewhere, involving noodles and meatballs.",Intellectual+6	Mining-3	Medicine+2	Artistic+8	Crafting+4	
engineer,Engineer40,"[PAWN_nameDef] found a job as a tinkering engineer on the trading hub planet Irithir. Tough local traders forced [PAWN_objective] to learn negotiation skills, and [PAWN_pronoun] made good profits selling refurbished weapons and tools.",Construction+2	Intellectual+1	Social+2	Cooking-2	Crafting+8	
minister,Minister88,"[PAWN_nameDef] managed to secure an important position in the government of a minor glitterworld. [PAWN_pronoun] got used to the opulence, while attempting to keep [PAWN_possessive] citizens content. [PAWN_pronoun] had ample time for pleasure and indulgence – though [PAWN_pronoun] never forgot how to do hard work.",Intellectual+3	Shooting+2	Social+4	Crafting+3	
pirate,Pirate56,"As a pirate leader, [PAWN_nameDef] was well-known for [PAWN_possessive] cunning plans and chess-like traps. [PAWN_pronoun] was never afraid to sacrifice a few pawns to capture an important target.

[PAWN_possessive] name has been linked more then once to strategies that overcame overwhelming odds.",Shooting+4	Melee+2	Social+8	
bounty hunter,BountyHunter17,[PAWN_nameDef] was a self-employed bounty hunter. [PAWN_pronoun] spent [PAWN_possessive] days hunting space pirates and collecting cash bounties.,Shooting+6	Melee+4	Medicine+2	
spiceminer,Spiceminer81,"[PAWN_nameDef] made [PAWN_possessive] mark on the universe as a spice miner assigned to the lucrative mining colony of Rural Pen'The.

Little did [PAWN_pronoun] know, [PAWN_nameDef] was about to embark on a career path that would change [PAWN_possessive] life.",Construction+2	Plants-2	Mining+8	Social+2	Medicine-2	
crime lord,CrimeLord10,"Through brutality and cruelty, [PAWN_nameDef] rose to become a crime lord.

[PAWN_pronoun] relied less on [PAWN_possessive] fists and more on [PAWN_possessive] guns. [PAWN_possessive] reputation spread quickly due to [PAWN_possessive] cold-bloodedness and ruthless methods.",Intellectual+2	Shooting+6	Melee+2	Social+3	
marble doctor,MarbleDoctor99,"On a bomb-blasted world, first aid is often the only aid.

[PAWN_nameDef] used [PAWN_possessive] medical skills to help the injured and the sick. [PAWN_pronoun] believed that while guns and machines may be powerful, a doctor is even more so.",Intellectual+4	Medicine+8	
mob henchman,MobHenchman53,"After being ""saved"" from [PAWN_possessive] home world by a slaver ship, [PAWN_nameDef] was sold to an urbworld crime lord, where [PAWN_pronoun] was used as a henchman. [PAWN_pronoun] specialized in low-tech beat-downs and intimidation.",Shooting+3	Melee+7	Social-2	Medicine+2	Crafting+2	
mech war veteran,MechWarVeteran77,"[PAWN_nameDef] fought against swarms of rogue mechanoids since [PAWN_pronoun] was old enough to enlist. [PAWN_pronoun] has bled on half a dozen worlds and has lost more than [PAWN_pronoun] cares to recall. These experiences left [PAWN_objective] hardened, both mentally and physically.",Shooting+7	Melee+4	
poison gardener,PoisonGardener29,"[PAWN_nameDef] spent almost all [PAWN_possessive] time tending to a poison garden and became withdrawn from society.

In that time [PAWN_pronoun] learnt a few safe culinary and medicinal uses for the otherwise deadly plants.",Plants+4	Intellectual+1	Cooking+2	Medicine+2	
artificer rampant,ArtificerRampant95,"Fuelled by the thrill of discovery and [PAWN_possessive] own megalomania, [PAWN_nameDef] set out to invent new devices and improve existing ones, breaking laws and customs as necessary.

[PAWN_pronoun] formed a crew to gather materials for [PAWN_possessive] work - and to deal with outsiders who might interfere.",Construction+2	Intellectual+6	Medicine+2	Crafting+8	
systems engineer,SystemsEngineer1,"Like [PAWN_possessive] father, [PAWN_nameDef] was a systems engineer. [PAWN_pronoun] was qualified in both colony and ship systems.

When not working, [PAWN_pronoun] would make mechanical figurines, read old books, or occasionally travel to uncharted worlds. Being introverted, [PAWN_pronoun] did these things mostly alone.",Construction+5	Intellectual+7	Crafting+4	
neuro scientist,NeuroScientist19,"[PAWN_nameDef] worked for a long time to improve mankind's understanding of the human brain.

After succeeding in mapping the whole brain, [PAWN_nameDef] joined a team of scientists on a quest to map the brains of the most exotic altered humans.",Intellectual+8	Social+2	Medicine+3	
pirate captain,PirateCaptain69,"[PAWN_nameDef] worked [PAWN_possessive] way up through the ranks of a pirate ship, eventually becoming captain. [PAWN_pronoun] leads [PAWN_possessive] crew between worlds, making a name to remember.",Shooting+5	Melee+5	Social+6	
hedge fund manager,HedgeFundManager54,"A top hedge fund manager on a teeming urbworld, [PAWN_nameDef]'s portfolio grew rapidly as [PAWN_pronoun] charmed clients with a sweet voice and devious intent. When the deal turned out too good to be true, [PAWN_pronoun] was forced to flee the planet with a bounty on [PAWN_possessive] head.

As [PAWN_pronoun] travelled the stars [PAWN_pronoun] found a passion in the arts, making masterpieces fit for high society customers.",Construction-2	Plants-2	Intellectual+3	Social+4	Artistic+7	
computer engineer,ComputerEngineer10,"Bored of [PAWN_possessive] code-monkey office job and missing the glory days of the Academy, [PAWN_nameDef] saw a commercial about the frontier where ""only the strong survive"".

With [PAWN_possessive] wife Morgan, [PAWN_nameDef] undertook a journey into the unknown.",Intellectual+8	Social+4	Crafting+2	
expert handyman,ExpertHandyman8,[PAWN_nameDef] worked as a traveling engineer. [PAWN_pronoun] fixed things ranging from a simple communications array to the intricate software harness enveloping [PAWN_possessive] ship's AI persona. Nothing is beyond repair for [PAWN_objective].,Construction+7	Intellectual+4	Crafting+3	
medic soldier,MedicSoldier54,"[PAWN_nameDef] enrolled in [PAWN_possessive] planetary army as a frontline medic. [PAWN_pronoun] soon knew the horrors of war and was deeply marked by them.

[PAWN_pronoun] left the military and [PAWN_possessive] homeworld and began researching medicine and helping those [PAWN_pronoun] came across.",Intellectual+5	Medicine+7	
exiled researcher,ExiledResearcher44,"[PAWN_nameDef]'s love of robotics was not appreciated in [PAWN_possessive] technophobic empire. The High Cardinal of the system excommunicated her, and [PAWN_pronoun] was never allowed to return.",Intellectual+8	Shooting+2	Medicine+4	Artistic+2	Crafting+3	
villain,Villain89,"After rising to the top of [PAWN_possessive] criminal band, [PAWN_nameDef] was taught the arts of villainy, from handling firearms to developing new weapons technologies. [PAWN_pronoun] excelled at bending others to [PAWN_possessive] will.",Intellectual+2	Mining-2	Shooting+4	Social+6	
space navy doctor,SpaceNavyDoctor72,"[PAWN_nameDef] served several tours as a doctor on one of the few warships defending [PAWN_possessive] homeworld. [PAWN_pronoun] learned combat skills while fighting occasional pirate boarding parties, and became an expert at treating gruesome combat wounds.",Construction-2	Plants-2	Mining-2	Shooting+3	Melee+1	Social+2	Medicine+5	Artistic-1	
government agent,GovernmentAgent61,"[PAWN_nameDef] worked for the government against rebel groups and excelled in this capacity. During [PAWN_possessive] training [PAWN_pronoun] was taught firearms, melee combat and medical skills.

Having grown up in a war-ravaged city, dirt, blood and dead bodies don't bother [PAWN_objective] and [PAWN_pronoun] sees no reason to clean them up.",Shooting+4	Melee+4	Medicine+3	
selfless hunter,SelflessHunter61,"[PAWN_nameDef] was a hunter of mysterious creatures that many didn't even believe existed. Sometimes the people were right - and sometimes they were wrong.

Along the way, [PAWN_pronoun] helped people in need.",Shooting+5	Social+6	
acolyte of stars,AcolyteOfStars6,"Ever the dreamer, [PAWN_nameDef] traveled across the universe to find the thing [PAWN_pronoun] felt was calling to him.

[PAWN_pronoun] became poorer and poorer, but used every means possible to carry on.",Intellectual-3	Social-3	Medicine+4	Artistic+7	
space raider,SpaceRaider71,"[PAWN_nameDef] was the leader of a spaceborne pirate crew. Skipping between the rimworlds, [PAWN_pronoun] became the feared enemy of many settlements.",Shooting+8	Melee+3	Social+5	
spy,Spy58,"[PAWN_nameDef] was trained by [PAWN_possessive] government in infiltration and espionage. [PAWN_pronoun] learned to keep a cool head and to talk [PAWN_possessive] way out of tight situations. When talking didn't work, [PAWN_pronoun] was capable of more violent direct action.",Shooting+2	Melee+2	Social+7	
wandering healer,WanderingHealer52,"[PAWN_nameDef] studied to be a doctor, but was dissatisfied with [PAWN_possessive] practice on an otherwise peaceful midworld.

Instead, [PAWN_pronoun] chose to pull up roots and travel to the rimworlds in order to care for people who needed [PAWN_objective] most.",Construction-1	Mining-1	Social+3	Cooking+2	Medicine+7	
cosmetic reject,CosmeticReject64,"Living on the streets, [PAWN_nameDef] submitted [PAWN_objective]self to an unethical cosmetics lab in exchange for food and shelter.

After some painful cosmetic modification, [PAWN_nameDef] barely resembles [PAWN_possessive] former self. Having been forced to work for the lab until [PAWN_pronoun] was rescued, [PAWN_nameDef] is now too afraid to lash out at anyone.",Construction+4	Cooking+5	
raider king,RaiderKing38,"Starting as nothing more than a slave, [PAWN_nameDef] rose quickly among the raider ranks until all knew [PAWN_possessive] name and [PAWN_possessive] ruthlessness.",Mining+3	Shooting+5	Melee+5	
frontier marshal,FrontierMarshal27,"[PAWN_nameDef] was the marshal of [PAWN_possessive] colony. [PAWN_pronoun] tried to honorably uphold the law, but the corrupt local mayor killed [PAWN_possessive] family and left [PAWN_objective] for dead.

After regaining [PAWN_possessive] health, [PAWN_nameDef] arrested the mayor. [PAWN_pronoun] left [PAWN_possessive] homeworld and started a new life working to make a difference in the universe.",Shooting+5	Social+4	Medicine+3	
religious hierarch,ReligiousHierarch16,"Ordained as a priest in [PAWN_possessive] local community, [PAWN_nameDef] used intrigue and diplomacy to rise to the higher echelon of the clergy. [PAWN_pronoun] held numerous titles and lands.

One day, a merchant landed [PAWN_possessive] spaceship near [PAWN_nameDef]'s home. [PAWN_pronoun] decided to accompany the merchant in search for new worlds and challenges.",Construction-3	Mining-3	Shooting-2	Melee-2	Social+8	Cooking+4	Medicine+5	
anarchist rebel,AnarchistRebel77,"After being abandoned on a special operation, [PAWN_nameDef] swore vengeance upon the state. [PAWN_pronoun] formed an anarchist group dedicated to bringing down coreworld governments.

After too many close calls, and too few successes, [PAWN_nameDef] fled to the outer rim.",Shooting+6	Melee+2	Social+6	
criminal surgeon,CriminalSurgeon99,"Being near many injured fellow criminals, [PAWN_nameDef] took it upon [PAWN_objective]self to work on them.

Although many people died, [PAWN_pronoun] did get better at using knives.",Intellectual-3	Melee+6	Social-2	Medicine+5	Artistic+1	
sanitation captain,SanitationCaptain29,"After graduating officer training school, [PAWN_nameDef] was assigned to main battle deck on the Thunder-Child. [PAWN_pronoun] served there for a year before [PAWN_possessive] ""gallant"" actions saw [PAWN_objective] reassigned to the maintenance corps.

It was with the maintenance corps [PAWN_pronoun] was dubbed [PAWN_nameDef] on account of [PAWN_possessive] legs.",Construction+5	Crafting+3	
overwatch sniper,OverwatchSniper42,"[PAWN_nameDef] didn't know why [PAWN_pronoun] joined the military, but [PAWN_pronoun] stayed to protect [PAWN_possessive] fellow soldiers.

Army life broke [PAWN_objective] down and built [PAWN_objective] back up. It taught [PAWN_objective] marksmanship, hand to hand combat and how to patch a bullet wound in a hurry.",Shooting+5	Melee+3	Medicine+3	
sightseer,Sightseer70,"[PAWN_nameDef] traveled the stars. [PAWN_pronoun] could barely scrape together travel costs doing odd-jobs, but it was all worth it.

[PAWN_pronoun] loved camping in exotic places and learning the patterns of strange wildlife. [PAWN_pronoun] never could focus on intellectual endeavors, as [PAWN_possessive] sightseeing distracted [PAWN_objective] far too much.",Plants+2	Shooting+2	Melee+2	Medicine+2	Artistic+2	Animals+2	
game tester,GameTester77,"Making a new life on a barely-livable planet after nuclear war, [PAWN_nameDef] was able to fulfill [PAWN_possessive] desires with money borrowed from [PAWN_possessive] father.

[PAWN_pronoun] loved playing a particular colony simulator. [PAWN_possessive] favorite thing to do in the game was to build elaborate hospitals. Spending most of [PAWN_possessive] time playing, [PAWN_pronoun] forgot horrors of war and [PAWN_possessive] need for revenge.",Intellectual+5	Shooting+4	Melee+4	Social-2	Medicine+4	
wandering crafter,WanderingCrafter42,"[PAWN_nameDef] continued to follow [PAWN_possessive] parents' nomadic ways, supporting [PAWN_objective]self with [PAWN_possessive] crafting skills. But wandering is a hard life, and [PAWN_pronoun] often thought of finding somewhere to settle down and put [PAWN_possessive] skills to good use.",Intellectual+2	Shooting+3	Crafting+8	
mutinous captain,MutinousCaptain52,"[PAWN_nameDef] was taken to the stars by slavers after [PAWN_possessive] tribe was decimated in a raid. Over the years [PAWN_pronoun] learned the language of [PAWN_possessive] captors, eventually working for them as an interpreter and diplomat.

The captain only learned of [PAWN_nameDef]'s true cunning when revenge was taken by form of mutiny.",Shooting+4	Social+8	
intimate assassin,IntimateAssassin35,"[PAWN_nameDef] was a professional assassin. [PAWN_pronoun] was sadistic, calculating, and appeared utterly harmless.

[PAWN_pronoun] preferred using intimate means to dispatch [PAWN_possessive] targets. This fulfilled both [PAWN_possessive] contracts and [PAWN_possessive] own personal desire for control.",Melee+8	Social+4	
corp researcher,CorpResearcher93,[PAWN_nameDef] was a leading researcher for a massive space exploration corporation.,Intellectual+8	Social+3	Cooking-2	Medicine+6	Crafting+3	
sole survivor,SoleSurvivor85,"[PAWN_nameDef] lived in a remote colony. When mechanoid centipedes attacked [PAWN_possessive] home and killed [PAWN_possessive] people, [PAWN_pronoun] was the last survivor.",Shooting+4	Melee+5	Social-3	
AWOL soldier,AWOLSoldier49,"[PAWN_nameDef] was an infantryman.

When [PAWN_pronoun] was informed of [PAWN_possessive] assignment to the Xennoa-Zartza War, [PAWN_pronoun] decided [PAWN_pronoun] did not want to be a soldier. [PAWN_pronoun] was able to escape via military spacejet.",Shooting+6	Melee+5	
explorer,Explorer49,"[PAWN_nameDef] traveled from planet to planet, gathering samples, stories, and research. [PAWN_pronoun] hoped one day to compile a record of every animal, plant, mineral, and machine and device in known space: The Complete Traveler's Guide to the RimWorlds.",Intellectual+3	Mining+3	Shooting+2	Melee+2	Crafting+2	
starship doctor,StarshipDoctor37,"[PAWN_nameDef] was a doctor on a starship. [PAWN_pronoun] was a brilliant surgeon and dabbled in research of [PAWN_possessive] own. However, [PAWN_pronoun] was quite reclusive and never had the best bedside manner.",Intellectual+5	Melee-2	Social-3	Medicine+8	
bounty hunter,BountyHunter41,"[PAWN_nameDef] was a bounty hunter on a massive glitterworld. [PAWN_pronoun] worked sensitive assignments for extremely wealthy clients, and was known for quiet execution and total discretion.",Shooting+8	Melee+5	
fallen official,FallenOfficial12,"[PAWN_nameDef] was an official for an autocratic government.

When [PAWN_possessive] superiors demanded [PAWN_pronoun] participate in atrocities, [PAWN_nameDef] resigned and escaped from [PAWN_possessive] homeworld with nothing but the clothes on [PAWN_possessive] back.",Melee+2	Social+5	Medicine+2	
orbital reservist,OrbitalReservist22,"When the government declared that it would strengthen its military defenses, [PAWN_nameDef] was drafted and trained.

[PAWN_pronoun] was stationed on an orbital base, manning the defense systems and, in dire situations, descending in a dropship to the surface.",Shooting+7	Melee+5	Medicine+2	
shaman of shadows,ShamanOfShadows47,"When the monsters of fire came from the sky, [PAWN_nameDef] was called upon by [PAWN_possessive] tribe to guide them into battle.

[PAWN_nameDef] made use of medicines and rituals to inspire and lead the warriors of many tribes against the invaders. The pirates were forced to retreat without capturing a single slave.",Construction-2	Plants+2	Intellectual+2	Social+6	Medicine+4	
station security,StationSecurity38,"[PAWN_nameDef] was commissioned as a special constable on a network of space stations. There [PAWN_pronoun] prevented illegal human trafficking.

Once, fire broke out on the station, and [PAWN_pronoun] saved many from the flames. Since then, [PAWN_pronoun] has avoided fires.",Shooting+4	Melee+3	Social+3	Medicine+3	Artistic-3	
space trafficker,SpaceTrafficker68,"[PAWN_nameDef] discovered [PAWN_pronoun] was heir of [PAWN_possessive] distant uncle's weapons-trading business.

To protect the future of the company [PAWN_pronoun] went through extensive military training, in case of any ""unforeseen circumstances"".",Shooting+5	Melee+5	Social+5	Medicine-2	
pop idol pirate,PopIdolPirate39,"[PAWN_nameDef] and [PAWN_possessive] fans set out as a space pirate crew. [PAWN_pronoun] raided corporations for money and staged performances to spread [PAWN_possessive] name.

[PAWN_nameDef] became afraid of fire when a rival burned [PAWN_possessive] stage down. [PAWN_pronoun] relied on [PAWN_possessive] fans to do the work [PAWN_pronoun] found unappealing.",Plants-2	Shooting+5	Melee+7	Social+4	Cooking-2	
roboticist,Roboticist1,"Sailors often died on the dangerous waters of [PAWN_nameDef]'s ocean planet. [PAWN_pronoun] created robots to replace them.

Over time, [PAWN_pronoun] collected a small crew of robots to do [PAWN_possessive] bidding. [PAWN_pronoun] became proficient at mechanics and engineering, but lost the taste for manual labor.",Construction+3	Intellectual+7	Crafting+3	
chemist,Chemist78,"[PAWN_nameDef] was a renowned chemist on a thriving midworld.

After performing inhumane experiments that turned men into beasts, [PAWN_pronoun] was arrested and banished to a far-off rimworld.",Intellectual+6	Social-3	Crafting+6	
stalwart farmer,StalwartFarmer90,"With the farm under constant threat from brigands, [PAWN_nameDef] learned to defend [PAWN_objective]self with [PAWN_possessive] father's rifle. [PAWN_pronoun] also mastered how to construct walls to keep livestock in and predators out.

[PAWN_pronoun] once tried to paint a picture of [PAWN_possessive] home, but discovered that [PAWN_pronoun] could only draw scribbles and ducks.",Construction+4	Shooting+4	Melee+2	Crafting+2	
urbworld pimp,UrbworldPimp93,"At first, [PAWN_nameDef] made a small profit from selling drugs. Then, [PAWN_pronoun] switched to selling women and made a fortune.

[PAWN_pronoun] developed great skills with [PAWN_possessive] fists. [PAWN_pronoun] also learned to fix up the injuries [PAWN_pronoun] inflicted on the girls.",Melee+6	Social+4	Medicine+5	
particle physicist,ParticlePhysicist44,[PAWN_nameDef] performed cutting-edge physics research. [PAWN_pronoun] wanted to help build a better and more peaceful future.,Plants+2	Intellectual+8	Medicine+3	Artistic+3	
defense lawyer,DefenseLawyer71,"[PAWN_nameDef] found that [PAWN_pronoun] could make more money with a quick word than a blaster. Seeking a job where [PAWN_possessive] silver tongue could be useful, [PAWN_pronoun] turned to the law.

[PAWN_pronoun] often defended the illegal speeder racers [PAWN_pronoun] grew up with.",Intellectual+5	Shooting+3	Social+8	
ranger,Ranger6,"[PAWN_nameDef] lived alone, deep in a forest. [PAWN_pronoun] protected the wildlife against poachers, and learned to satisfy [PAWN_possessive] own material needs without outside help.",Construction+2	Plants+2	Shooting+4	Cooking+2	Medicine+2	
clan chief,ClanChief14,[PAWN_nameDef] managed a small criminal clan on an outlying trade hub world.,Shooting+6	Social+7	
faction leader,FactionLeader74,"Early in [PAWN_possessive] adulthood, [PAWN_nameDef] found [PAWN_objective]self surrounded by a gaggle of low-lifes. 

For fun, [PAWN_pronoun] gathered them and lead them to a certain death. [PAWN_pronoun] knew then that [PAWN_pronoun] had the talent to realize [PAWN_possessive] ambitions of leadership.",Intellectual+3	Melee+2	Social+8	Medicine+2	
prosthetic surgeon,ProstheticSurgeon0,[PAWN_nameDef] used [PAWN_possessive] talent for prosthetics to 'advance' others by replacing limbs and organs with metal and electronics.,Plants-2	Intellectual+4	Medicine+6	Crafting+4	
corp researcher,CorpResearcher71,"[PAWN_nameDef] was sold to a corporation and put to work as a corporate slave doing scientific research.

Unable to adapt to the social politics of [PAWN_possessive] workplace, [PAWN_pronoun] buried [PAWN_objective]self in [PAWN_possessive] work and failed to progress up the corporate ladder. Every day, [PAWN_pronoun] yearned to be left alone.",Intellectual+8	Shooting-3	Melee-3	Medicine+4	Crafting+4	
space marine,SpaceMarine9,"[PAWN_nameDef] was a member of an elite imperial space warrior unit. Subjected to intense training, [PAWN_pronoun] developed remarkable combat skills.

[PAWN_possessive] unit's quasi-religious ceremonies and beliefs helped [PAWN_objective] stay more-or-less sane through the horrors of the war.",Shooting+6	Melee+5	Social-2	
soldier-farmer,TechnologyDoctor35,"[PAWN_nameDef] was a farmer on [PAWN_possessive] midworld, and spent [PAWN_possessive] free time practicing with guns. [PAWN_pronoun] knew how important the skills of farming and shooting would be in hard times, and trained to serve in a local militia.",Plants+4	Shooting+4	Medicine+2	Animals+2	
pirate trooper,PirateTrooper73,"[PAWN_nameDef] joined a renowned interstellar criminal organization, and was often part of shock-assault boarding parties during starship raids.

Though [PAWN_possessive] combat experience made [PAWN_objective] a good fighter, the ruthlessness of the job left [PAWN_objective] cold-hearted and unenthusiastic about social interaction.",Shooting+6	Melee+5	
combat medic,CombatMedic82,"After [PAWN_possessive] home country entered a large-scale war, [PAWN_nameDef] was drafted into the army as a combat medic.

[PAWN_possessive] few years in the trenches trying to keep [PAWN_possessive] fellow soldiers alive gave [PAWN_objective] an acute sense for first aid. Losing many friend has made [PAWN_objective] stoic and reserved.",Shooting+2	Melee+1	Medicine+6	Artistic-2	
hired gun,HiredGun70,"[PAWN_nameDef] always wanted to prove [PAWN_pronoun] could make a living without [PAWN_possessive] parents' help. [PAWN_pronoun] did shady jobs that often involved pointing guns at innocent people.

[PAWN_pronoun] eventually made enough money to board a cheap freighter. [PAWN_pronoun] discovered why it was so cheap when it crashed.",Shooting+6	Melee+2	Cooking+2	Medicine+3	
stiletto assassin,StilettoAssassin34,"Because of [PAWN_possessive] skills, [PAWN_nameDef] developed a sense of superiority. In time, [PAWN_pronoun] lost [PAWN_possessive] sense of empathy. [PAWN_pronoun] often got into fights, and discovered how easy it is to kill a person.

After realizing [PAWN_possessive] talents, [PAWN_pronoun] became one of the most efficient assassins in the system.",Construction-3	Mining-3	Shooting+6	Melee+8	Medicine+2	
hunter,Hunter73,"[PAWN_nameDef] was a master hunter.

[PAWN_pronoun] learned to track and trap any animal in the most dangerous of places, and had deep knowledge of many ingenious methods for taking down specific large animals.",Plants+2	Shooting+6	Medicine+4	
battlefield tech,BattlefieldTech52,"[PAWN_nameDef] had received firearms training, but [PAWN_possessive] work was focused on technical adaptation and manipulation of combat mechanoids on the battlefield.

[PAWN_pronoun] developed PTSD after narrowly escaping a primitive firebomb attack in a wheat field. The army medically discharged [PAWN_objective] from service.",Construction+4	Intellectual+4	Shooting+3	Cooking-3	Crafting+4	
master trader,MasterTrader65,[PAWN_nameDef] was a master at trading. [PAWN_pronoun] earned [PAWN_possessive] nickname by helping a village through a trying time.,Social+8	Cooking+2	Artistic+4	
exotic chef,ExoticChef96,"[PAWN_nameDef] has always gone overboard when it comes to food. [PAWN_pronoun] is always seeking new and exotic ingredients.

[PAWN_possessive] quest for ingredients has brought [PAWN_objective] into some close calls with local flora and fauna.",Cooking+6	Artistic+2	Crafting+1	
mad scientist,MadScientist2,"[PAWN_nameDef]'s lust for knowledge was only matched by [PAWN_possessive] disdain for anyone who would stand in the way of [PAWN_possessive] research.

Traveling from world to world, [PAWN_pronoun] sought answers to questions few dared to ask.",Construction+3	Intellectual+7	Social-2	
warrior,Warrior73,[PAWN_nameDef] was a war hero during [PAWN_possessive] planet's third world war. [PAWN_pronoun] helped prevent the launch of nuclear weapons during a particularly tense standoff.,Shooting+5	Melee+4	Cooking+2	Medicine+3	
space explorer,SpaceExplorer53,"[PAWN_nameDef] spent years trapped, alone on an unknown planet. [PAWN_pronoun] quickly adapted to the local environment, and learned to communicate with [PAWN_possessive] local enemies.

This long period alone left [PAWN_objective] without close friends. [PAWN_possessive] heart is sensitive, but [PAWN_pronoun] learned to hide [PAWN_possessive] emotions very well.",Construction+3	Plants+3	Mining+3	Shooting+4	Social+4	
smuggler,Smuggler23,"As a contract pilot, [PAWN_nameDef] had a knack for stealing goods and trafficking contraband without getting caught.

[PAWN_pronoun] eventually saved up enough to buy [PAWN_possessive] own ship, and used it to travel from world to world dealing [PAWN_possessive] goods in person.",Intellectual-2	Shooting+2	Melee+2	Social+5	Medicine+2	
destroyer-general,DestroyerGeneral26,"[PAWN_nameDef] held the rank of Destroyer-General in a powerful midworld military.

[PAWN_pronoun] was known for [PAWN_possessive] mastery of weapons, and was also a good ship pilot.",Shooting+6	Melee+3	Social+6	Artistic-3	
serial murderer,SerialMurderer47,"[PAWN_nameDef] started to enjoy killing people, so [PAWN_pronoun] did more often and perfected [PAWN_possessive] methods. [PAWN_pronoun] lurked in the darkest streets, stalking prey for hours.

[PAWN_pronoun] enjoyed making artworks of [PAWN_possessive] victims, and was known for leaving [PAWN_possessive] signature on the bodies of those [PAWN_pronoun] killed.",Shooting+4	Melee+4	Artistic+4	
mad scientist,MadScientist31,"After finishing [PAWN_possessive] education, [PAWN_nameDef] was hired by the planet's leading genetic researcher. Later, [PAWN_pronoun] was caught running illegal, inhumane experiments.

Despite [PAWN_possessive] family's influence, [PAWN_pronoun] was convicted and sentenced to hard labor on a penal colony.",Intellectual+8	Mining+3	Medicine+3	Artistic-3	Animals-2	
software developer,SoftwareDeveloper84,"After [PAWN_pronoun] gained the ability to use automation to remove tedium, [PAWN_nameDef] could no longer tolerate traditional education and employment.",Plants-3	Intellectual+7	Social-3	Artistic+3	Crafting+5	
human trafficker,HumanTrafficker35,"[PAWN_nameDef] stole children from their homes to sell them to interested buyers.

Over time, [PAWN_pronoun] lost what little moral sense [PAWN_pronoun] had left.",Melee+4	Social+3	Crafting+2	
mental patient,MentalPatient69,"[PAWN_nameDef] was placed in a psychiatric hospital. There, [PAWN_pronoun] spent [PAWN_possessive] time engaged in the calming activities of the asylum.

[PAWN_pronoun] was eventually released, but [PAWN_pronoun] retained [PAWN_possessive] emotional distance, [PAWN_possessive] curiosity about human anatomy, and [PAWN_possessive] namesake manic giggling.",Plants+3	Intellectual+2	Shooting-2	Artistic+3	Crafting+3	
space marine,SpaceMarine94,"[PAWN_nameDef] was a warrior in an Imperial navy.

[PAWN_possessive] job was to punch into enemy starships, gun down the crew, and capture the ship intact. And [PAWN_pronoun] was good at it.",Shooting+7	Melee+5	
envoy of the stars,EnvoyOfTheStars19,"[PAWN_nameDef] entered the diplomatic corps. Honor and tradition were the values [PAWN_pronoun] took with [PAWN_objective] on every mission.

[PAWN_possessive] prestigious position distanced [PAWN_objective] from backbreaking manual labor, allowing [PAWN_objective] to focus on [PAWN_possessive] wordsmithing abilities. [PAWN_pronoun] left the blacksmithing to others.",Shooting+1	Social+8	Medicine+2	Artistic+2	
blacksmith,Blacksmith7,"As a blacksmith on a medieval world, [PAWN_nameDef] gained a reputation for the high quality of [PAWN_possessive] work. [PAWN_pronoun] wasn't bad at using the swords [PAWN_pronoun] forged either.",Mining+2	Melee+2	Crafting+8	
clone farmer,CloneFarmer58,"Harvesting the products of clone farms is mostly done by the clones themselves - particularly to those whose sims tended towards the social. This clone was one such, who escaped from the farms and headed out to the stars.",Social+6	Medicine+4	Crafting+2	
